Mean Surface Air Temperature over Ocean or Land Areas (C)
Year,Land_Annual,Lowess(5),Ocean_Annual,Lowess(5)
1924,-0.19,-0.13,-0.30,-0.26
1925,-0.08,-0.11,-0.26,-0.26
1926,0.07,-0.09,-0.17,-0.26
1927,-0.15,-0.07,-0.23,-0.25
1928,-0.02,-0.05,-0.28,-0.24
1929,-0.43,-0.03,-0.33,-0.24
1930,-0.02,-0.03,-0.19,-0.24
1931,0.09,-0.02,-0.16,-0.24
1932,0.06,-0.02,-0.24,-0.23
1933,-0.26,-0.02,-0.29,-0.22
1934,0.05,-0.02,-0.22,-0.22
1935,-0.10,-0.01,-0.23,-0.20
1936,-0.05,0.02,-0.19,-0.18
1937,0.04,0.06,-0.09,-0.14
1938,0.26,0.10,-0.17,-0.08
1939,0.19,0.12,-0.09,-0.03
1940,0.13,0.14,0.11,0.00
1941,0.14,0.14,0.25,0.04
1942,0.08,0.12,0.05,0.08
1943,0.11,0.10,0.03,0.08
1944,0.20,0.08,0.21,0.05
1945,-0.08,0.08,0.19,0.00
1946,0.04,0.06,-0.10,-0.03
1947,0.13,0.03,-0.13,-0.07
1948,0.08,-0.00,-0.17,-0.10
1949,-0.03,-0.02,-0.13,-0.11
1950,-0.28,-0.03,-0.14,-0.09
1951,-0.08,-0.04,-0.05,-0.08
1952,-0.01,-0.05,0.02,-0.08
1953,0.24,-0.05,0.01,-0.08
1954,-0.10,-0.04,-0.17,-0.08
1955,-0.07,-0.03,-0.19,-0.07
1956,-0.37,-0.02,-0.14,-0.06
1957,0.02,-0.02,0.05,-0.04
1958,0.11,0.00,0.07,-0.01
1959,0.06,0.03,0.01,0.01
1960,-0.09,0.06,0.00,0.02
1961,0.14,0.05,0.03,0.01
1962,0.08,0.02,0.02,-0.01
1963,0.17,-0.00,0.03,-0.03
1964,-0.27,-0.02,-0.13,-0.04
1965,-0.14,-0.04,-0.09,-0.05
1966,-0.05,-0.07,-0.04,-0.05
1967,0.02,-0.08,-0.06,-0.03
1968,-0.14,-0.07,-0.04,-0.02
1969,-0.13,-0.06,0.14,-0.00
1970,0.03,-0.06,0.02,0.01
1971,-0.03,-0.05,-0.12,0.02
1972,-0.16,-0.03,0.08,0.01
1973,0.31,-0.02,0.10,-0.00
1974,-0.13,0.00,-0.07,0.00
1975,0.13,0.03,-0.09,0.02
1976,-0.25,0.06,-0.03,0.04
1977,0.23,0.09,0.14,0.07
1978,0.05,0.14,0.08,0.11
1979,0.11,0.18,0.21,0.15
1980,0.34,0.21,0.23,0.18
1981,0.53,0.22,0.18,0.19
1982,0.06,0.22,0.19,0.19
1983,0.42,0.22,0.26,0.19
1984,0.08,0.22,0.16,0.19
1985,0.05,0.24,0.12,0.20
1986,0.25,0.28,0.16,0.21
1987,0.38,0.34,0.32,0.23
1988,0.60,0.41,0.27,0.25
1989,0.33,0.44,0.22,0.26
1990,0.66,0.45,0.33,0.27
1991,0.57,0.44,0.29,0.26
1992,0.24,0.45,0.22,0.26
1993,0.23,0.45,0.22,0.26
1994,0.46,0.46,0.24,0.26
1995,0.74,0.50,0.28,0.28
1996,0.39,0.56,0.24,0.30
1997,0.59,0.62,0.39,0.30
1998,0.92,0.66,0.44,0.32
1999,0.69,0.71,0.23,0.34
2000,0.61,0.76,0.25,0.35
2001,0.81,0.81,0.38,0.36
2002,0.99,0.84,0.42,0.38
2003,0.92,0.89,0.44,0.40
2004,0.76,0.94,0.43,0.41
2005,1.09,0.96,0.43,0.41
2006,0.94,0.97,0.43,0.41
2007,1.17,0.98,0.34,0.41
2008,0.86,0.99,0.33,0.41
2009,0.94,0.99,0.47,0.40
2010,1.11,0.99,0.47,0.41
2011,0.95,1.00,0.35,0.44
2012,0.96,1.03,0.42,0.47
2013,1.04,1.09,0.46,0.51
2014,1.01,1.15,0.55,0.55
2015,1.29,1.21,0.68,0.59
2016,1.46,1.27,0.70,0.62
2017,1.36,1.33,0.64,0.64
2018,1.21,1.39,0.60,0.65
2019,1.41,1.45,0.68,0.67
2020,1.58,1.50,0.67,0.67
